Frequence,Quantite,Montant
3,639,964.85
4,1039,1747.54
1,846,1193.32
1,260,668.0400000000001
4,1630,3092.38
1,76,315.6
4,1365,2093.19
2,280,641.3
1,213,355.53
1,95,137.31
8,3360,2945.56
3,1179,1303.41
20,7369,12411.67
1,68,162.1
1,189,269.1
2,351,569.13
2,1597,2413.82
9,3416,5954.48
6,2730,4082.53
3,445,732.46
2,542,1030.88
1,232,480.5
4,1149,1929.98
2,1162,1509.18
8,2991,5823.9
1,573,511.69
1,198,366.1
3,301,994.58
1,71,145.9
3,546,905.26
6,1788,3041.64
1,325,477.91
4,1076,1631.18
2,897,1346.97
12,1400,3146.82
1,159,300.05
3,583,569.51
1,250,242.44000000000003
1,78,114.0
1,498,793.98
2,919,2209.85
5,260,529.98
5,1699,3619.17
4,1032,1427.18
1,317,632.05
1,104,73.68
1,126,227.1
11,2041,3543.78
9,1188,4391.88
1,36,45.0
1,391,460.13
4,1599,3177.15
2,1104,1427.73
5,1383,2744.05
1,78,225.89999999999998
2,349,574.52
4,1126,1844.6
6,664,1091.39
9,10900,16331.46
4,545,951.02
4,439,790.81
22,7457,12365.54
31,5505,11028.22
14,4934,7612.57
6,1973,2073.63
6,1507,2575.08
1,106,71.14
1,3028,4873.8099999999995
2,622,1139.61
1,103,335.01
5,388,927.8
4,247,711.91
2,503,761.67
4,220,582.1
3,503,757.59
4,2944,4525.99
2,674,725.71
1,52,201.0
1,163,265.55
8,991,1740.84
8,3970,6382.29
1,256,603.42
10,1292,2442.91
15,3919,9430.52
3,844,1023.02
13,1036,3928.13
1,505,794.55
5,3046,4294.86
1,195,273.86
2,703,963.49
2,502,830.98
1,201,202.25
2,370,572.95
25,4635,5115.7300000000005
6,1944,2386.13
4,565,979.63
5,433,707.07
4,439,923.41
1,162,371.8
7,3132,2411.1
7,2068,3440.7
4,413,728.33
1,231,417.01
12,8429,18751.91
1,110,218.26000000000002
1,137,383.95
1,88,110.39999999999999
2,363,689.5699999999999
1,168,144.0
1,147,137.35
1,485,975.54
1,342,427.6
2,319,546.43
4,5234,9120.39
11,1275,4196.01
206,25511,32317.32
5,1470,4040.88
1,137,275.88
1,2262,4366.78
6,11421,21429.39
3,6481,3010.74
2,1491,3811.95
1,144,112.07999999999998
9,2394,4199.2
2,2135,2791.59
3,894,1411.44
2,1220,1702.52
2,316,494.08
1,386,1693.88
7,3627,6457.63
1,356,1143.6
1,743,1351.45
1,551,752.47
5,870,1281.04
6,817,693.23
8,2024,3981.36
2,670,786.74
5,1072,1938.92
4,611,1295.87
1,298,518.42
1,129,255.95
3,258,418.66
1,3,76.85
1,164,294.92
1,96,177.60000000000002
1,215,344.53999999999996
2,292,461.48
2,592,860.41
1,64,318.48
1,117,226.03
3,5256,6977.04
1,312,397.58
3,187,455.65000000000003
1,217,405.31
2,227,458.85
1,164,229.64000000000001
1,48,85.92
2,374,863.46
2,125,452.20000000000005
1,52,126.03999999999999
1,920,1182.0800000000002
4,722,942.34
1,70,92.72
2,550,948.88
5,230,1759.5
1,232,397.12
7,1058,1474.72
3,197,430.15000000000003
6,494,1018.71
2,376,293.0
6,9848,6814.64
1,135,215.05
2,195,383.03
1,156,417.38
1,110,312.38
4,1064,2612.86
1,24,134.1
2,359,683.13
14,3807,5591.42
4,1511,2726.77
25,2757,4022.35
2,547,1118.99
8,781,1702.26
2,125,325.96000000000004
4,204,354.09
1,909,871.54
2,605,1033.25
1,109,135.18
1,149,311.55
6,800,1957.1000000000001
3,627,1324.5
1,30,38.1
6,1079,2179.93
2,343,1106.4
1,188,521.2
1,216,147.12
2,925,1568.23
1,167,499.12
7,4298,4036.82
6,928,1607.0600000000002
2,200,380.64
2,319,599.97
1,128,374.0
2,2019,343.2300000000001
2,1930,2053.02
12,1178,1535.77
2,547,854.99
3,370,573.22
1,21,298.0
2,246,1463.04
4,196,703.47
1,43,309.05
3,655,1175.22
2,770,1378.4
2,76,354.12
1,259,380.46999999999997
3,950,331.0
1,96,188.14
2,210,372.8
2,110,216.5
28,23075,17654.54
1,66,138.68
2,302,509.58
5,1749,2919.81
2,1200,750.0
5,1280,2178.67
8,1692,3075.04
5,670,1662.3
5,1419,2483.63
2,93,363.65
4,1119,3006.15
1,120,594.0
6,673,1335.19
1,129,164.23
37,9526,16587.09
1,370,405.38
1,68,175.72
4,480,925.75
2,541,694.05
5,1472,2062.7000000000003
1,37,117.85
2,252,415.8
15,28004,42055.96
3,499,607.53
7,1853,2160.7
4,559,1063.9
4,1007,1504.27
1,140,114.14
8,4876,11581.8
2,411,913.54
3,203,683.9
2,289,604.51
1,165,462.95
6,1165,1603.99
7,1080,2064.95
8,2381,4167.22
3,1380,1843.0
6,503,1064.07
4,653,1387.79
1,84,329.85
11,3664,4757.16
1,34,108.07
8,2549,4017.54
2,129,266.39
8,881,1856.63
1,283,771.91
1,75,160.18
2,438,1660.9
1,73,135.95
4,310,452.24
86,9289,11189.91
1,24,144.8
1,561,738.6
1,12,39.239999999999995
9,886,7374.900000000001
2,242,372.21999999999997
1,288,390.54
1,26,97.5
2,1533,1239.38
2,219,558.7
1,136,535.32
15,2943,6924.110000000001
3,200,409.5
2,405,503.76
4,240,414.76
3,459,974.4200000000001
1,108,211.32
4,664,1226.89
3,342,455.88
3,379,534.85
13,5505,9818.82
1,73,120.94999999999999
3,103,149.05
18,4822,5655.91
2,172,513.7
1,55,81.57
1,175,229.46999999999997
1,13,50.550000000000004
8,824,1661.8400000000001
13,2224,4810.9400000000005
10,907,3466.2799999999997
5,1617,3346.28
3,527,789.89
1,48,204.0
28,5435,7277.7
9,1352,2616.38
2,280,599.9
5,1620,975.36
6,17280,6912.0
2,798,661.3199999999999
3,134,1247.5
2,394,799.48
2,375,1010.18
1,83,190.55
2,369,642.77
2,644,921.88
3,431,881.07
3,360,908.46
2,355,676.99
1,254,516.42
1,429,560.47
1,221,305.28000000000003
2,264,629.31
9,1390,3232.59
4,1238,1835.91
2,268,656.6800000000001
17,3747,5833.11
1,222,348.15000000000003
3,894,1214.41
3,52,271.40000000000003
1,35,183.4
1,123,307.53
1,107,248.61
1,343,346.98
4,516,1119.49
1,74,205.86
2,322,470.8
1,32,115.46000000000001
2,200,344.0
24,5885,4436.12
1,110,228.8
1,69,177.15
1,485,919.61
4,863,729.27
26,5630,12627.94
5,62,220.10000000000002
1,120,58.08
11,19160,28337.38
9,4324,3613.63
2,187,303.75
2,216,416.08000000000004
97,31070,58825.83
13,2262,8895.82
1,466,345.82
5,279,477.83
8,3961,7832.47
12,1716,1927.3200000000002
1,144,74.39999999999999
10,2363,6010.42
28,15968,28882.44
1,288,207.35999999999999
1,113,101.19
24,4204,6424.09
1,82,243.94
6,504,1098.48
1,18,76.5
4,1293,1531.6200000000001
1,298,350.06
2,520,786.54
7,388,1488.67
24,3050,12245.960000000001
4,1567,2294.78
1,291,501.14
8,945,984.91
5,410,1197.81
1,12,30.599999999999998
1,252,283.73
2,585,922.39
3,2147,3866.33
8,2143,2099.64
1,127,259.17
1,32,64.0
3,447,1073.3
1,20,77.3
2,32,109.8
4,1059,1793.58
1,4300,3096.0
5,1328,2607.61
8,2226,3650.41
6,473,962.39
7,2425,5064.94
3,186,423.72
5,1548,2388.75
1,258,307.09
1,21,110.95
4,145,618.52
1,154,228.91
4,144,712.8000000000001
12,1975,3707.12
4,1280,1676.06
1,363,1257.8700000000001
1,418,486.22
4,497,971.76
4,1439,1741.22
4,784,1201.06
4,1059,1437.85
1,56,91.8
1,29,112.75
4,1713,1688.29
2,1376,1021.48
1,216,417.2
4,773,779.33
4,682,1319.19
2,272,712.88
1,147,116.00999999999999
3,229,468.41
2,277,353.65
3,1394,2813.03
1,453,492.84
1,91,282.45
11,3570,5725.47
1,201,121.18
9,2208,3957.78
10,1691,1700.29
1,12,71.4
3,820,1575.89
1,95,236.02
1,25,114.60000000000001
2,842,260.68
2,595,911.94
1,50,117.88
1,26,60.7
4,1224,1797.78
6,2648,3401.2400000000002
37,6175,9802.12
4,516,870.09
4,800,869.46
2,130,250.26000000000002
5,768,1199.42
8,4253,5891.61
1,316,353.48
3,874,1197.42
3,310,788.08
5,1360,1520.58
1,297,333.74
3,262,533.98
1,88,62.63999999999999
4,196,819.2900000000001
2,243,844.86
2,88,163.20000000000002
2,1515,2152.95
7,3416,6463.84
1,80,108.21000000000001
1,99,257.7
1,200,358.0
1,63,160.95
14,1665,2806.97
7,776,1357.0
2,1004,605.12
1,441,1031.07
2,416,744.85
4,298,700.73
1,363,329.56
4,297,648.7
3,130,270.40000000000003
1,233,600.07
1,38,121.74000000000001
1,125,430.5
6,1602,1987.3
4,328,501.12
2,305,465.68
3,546,711.41
2,1572,1030.4
2,177,399.51
1,12540,0.0
3,287,698.58
1,132,292.32
1,142,557.62
2,210,944.1
1,125,200.29
34,4773,7428.85
5,1752,2107.66
12,4428,3834.2599999999998
19,1969,4521.49
10,3582,3192.65
15,3514,5346.2300000000005
1,200,590.0
1,253,217.38
2,96,276.56
1,153,138.98
2,161,590.9300000000001
4,176,258.4
1,537,542.73
1,73,137.75
3,522,814.86
3,307,1132.14
2,90,93.66
1,91,201.19
4,2051,2709.12
1,233,361.11
2,347,578.9399999999999
2,453,873.74
1,82,201.20000000000002
1,78,87.4
4,963,2089.85
1,96,360.0
1,30,142.5
1,203,371.89
4,343,600.19
1,5,63.75
1,238,300.42
10,1232,2000.86
1,4,15.0
3,843,1385.51
5,1544,1456.79
3,587,1132.03
2,305,598.57
5,851,1555.32
3,560,775.94
4,6948,5977.7300000000005
6,1035,2273.68
3,304,640.76
26,4724,10845.550000000001
4,1096,1548.7
2,372,567.36
1,117,199.48000000000002
5,175,787.85
10,5205,7121.95
1,240,675.3
8,1600,3627.77
1,680,1308.48
2,463,789.0
3,751,1140.93
1,179,350.9
3,1774,3536.82
1,559,795.12
1,255,437.02
1,326,860.12
7,5770,10736.48
1,301,775.85
1,134,303.43
3,971,2543.72
1,140,339.5
1,204,291.36
1,136,233.76
1,224,197.32
2,285,879.12
1,116,323.94
1,320,347.97999999999996
1,604,743.53
1,314,674.7
1,325,768.24
1,322,609.95
1,284,389.03
1,160,389.56
4,1382,3090.7400000000002
2,708,892.5
1,71,134.95999999999998
2,1247,2225.37
1,144,56.160000000000004
2,326,573.4
1,148,258.28000000000003
1,343,754.87
1,158,328.64
3,1651,3312.25
1,442,778.65
3,490,869.76
3,601,572.56
6,2029,3639.31
1,131,222.99
7,2422,4151.93
1,281,534.57
2,282,677.1
3,429,797.96
1,224,544.08
1,4,59.8
8,2392,2520.02
1,336,307.72
2,600,1360.99
5,430,1544.13
1,281,457.34
2,479,621.23
1,44,75.0
2,111,252.49
2,163,557.45
62,16232,28117.04
5,518,1003.06
1,72,213.55
3,1574,1390.5
2,142,712.5
2,162,640.83
18,3918,6127.43
1,275,221.06
2,101,159.85
2,1156,1840.58
1,1326,2626.3
3,1123,1624.21
10,2245,3641.32
3,545,582.6
1,156,218.47
4,1390,1006.8
2,751,679.45
2,672,1269.1
2,300,534.24
7,2129,3809.8900000000003
1,76,196.89
7,1283,3408.06
1,242,283.71
1,204,296.64
3,584,1129.14
6,1660,3539.37
1,222,291.88
6,1982,2043.7199999999998
5,2149,2976.15
2,2,590.0
2,134,356.97999999999996
2,354,1058.34
6,765,1766.72
14,5508,9646.57
2,286,183.44
3,1170,1445.0
1,62,151.5
1,403,674.68
1,259,307.9
2,584,1083.71
37,2589,5704.97
2,100,165.0
4,1590,2531.58
2,266,422.64
1,132,229.59
4,1012,1431.78
2,417,1238.47
6,1021,1454.58
2,134,300.95
5,1142,1804.56
1,116,184.64
1,160,140.34
1,44,313.8
1,277,454.24
3,669,1122.41
3,265,575.4
13,4518,8968.31
4,560,449.52
10,903,1215.82
3,408,1269.84
2,377,498.63
1,162,316.26000000000005
5,829,2044.8700000000001
2,341,653.33
2,163,348.05
5,1365,1159.11
3,609,1166.77
1,560,1340.32
3,264,292.0
1,248,216.85
1,178,295.93
4,2467,3633.63
2,324,458.52
4,1597,2479.16
1,24,110.97
6,1105,964.72
4,1386,1791.56
1,143,251.21
1,109,205.1
1,40,152.20000000000002
4,681,891.12
3,985,1389.41
3,1369,2128.42
1,392,659.4399999999999
1,23,122.75
6,1633,2984.35
3,733,1092.39
1,44,125.80000000000001
5,1752,3964.88
5,324,680.1800000000001
2,394,628.78
7,1692,2287.51
2,74,307.76
2,174,483.8
1,129,210.31
3,204,270.79
25,2961,5870.08
7,2136,3448.29
7,175,1280.85
3,320,631.34
2,127,291.41
3,359,626.99
2,441,682.41
7,458,918.2
1,12,91.80000000000001
12,1417,3740.07
4,2660,4149.28
2,546,584.06
4,344,605.06
1,64,174.37
1,83,141.85999999999999
3,757,1799.33
2,209,777.53
2,660,1198.38
2,172,240.22
2,575,874.71
1,70,192.85
2,163,372.25
1,161,239.49
12,1759,2092.32
1,534,1384.25
2,303,294.4
5,449,732.0699999999999
18,2646,6717.34
4,791,1687.6000000000001
2,176,467.04
1,30,118.0
1,725,781.03
1,37,142.4
1,180,712.4
9,2606,2478.95
2,114,379.65
6,1848,1981.92
3,485,1117.13
4,84,247.95999999999998
5,731,2037.0800000000002
1,359,396.97
2,406,697.04
1,58,180.17000000000002
21,3294,5153.67
1,324,219.52
2,548,693.32
1,267,428.89
1,164,164.34
3,279,280.53999999999996
1,290,678.01
7,516,1131.88
3,766,1171.8
4,570,1610.46
1,189,417.69
3,300,544.18
1,246,177.34
1,343,213.85
5,294,747.78
1,209,257.23
5,1269,1638.47
11,4372,7792.36
7,1391,2031.78
11,467,3070.42
5,1037,2121.27
5,704,1575.16
1,677,1071.03
5,592,949.12
3,408,809.25
1,93,122.64
1,800,1033.34
1,173,354.8
3,273,519.44
4,2067,2624.26
1,158,252.1
4,895,1678.1200000000001
2,139,346.6
6,922,1836.34
1,32,79.2
3,578,1095.08
6,2182,2707.33
2,605,932.97
2,490,379.65
2,209,382.14
5,1019,2639.17
2,894,1573.2
3,543,897.76
1,91,189.47
3,41,84.65
1,154,305.02
21,3742,6363.59
2,237,218.55
1,282,349.7
2,57,186.39000000000001
2,119,396.92
2,330,486.82000000000005
1,924,232.6
4,1936,3722.42
4,360,827.83
1,10,59.5
1,39,67.23
7,5056,3119.44
1,70,72.0
1,512,910.0
1,67,172.25
3,1226,1488.32
50,63312,65039.62
15,1603,2504.13
1,177,151.29999999999998
1,66,308.58000000000004
10,2304,2265.12
1,10,99.5
9,1531,2308.06
3,363,711.86
1,189,330.79
2,351,806.41
1,305,294.88
13,3516,6328.05
1,176,180.48
2,140,252.06
1,352,228.84
5,563,1079.34
1,138,138.28
6,1959,1445.01
2,173,306.55
5,609,1041.68
4,501,799.9
1,316,524.14
3,1401,2375.41
1,43,199.85000000000002
8,806,1980.56
2,1054,1079.6599999999999
2,162,333.48
6,458,1016.14
2,488,752.6
2,278,610.59
1,498,491.86
4,1130,2885.2400000000002
2,497,731.9
1,125,339.59999999999997
1,54,216.9
1,425,350.75
3,218,668.4300000000001
12,1124,3131.02
7,1776,1341.6
2,1249,1156.36
1,496,300.04
1,8,79.6
5,439,948.25
5,516,1647.26
1,152,296.25
6,876,1186.28
1,512,741.26
2,214,282.59999999999997
9,1264,2161.35
14,3188,5189.52
7,1844,3190.55
2,287,659.4100000000001
2,197,286.79
2,642,1070.65
1,272,306.72
1,728,1714.96
3,929,1518.76
37,7322,17220.36
10,1163,2796.51
4,1477,2634.45
3,546,1132.13
1,192,345.0
33,12897,25977.16
1,70,178.7
2,318,360.01
1,30,127.84
6,371,912.0
11,2493,2462.79
1,136,230.39999999999998
2,337,309.04
1,748,348.8
2,1200,1516.0
2,92,195.55
57,23948,37153.85
2,402,688.86
1,331,558.32
1,168,324.8
3,2572,4599.42
1,121,277.07
7,1498,2635.79
2,1900,924.6
1,56,256.38
1,36,112.6
5,782,1747.66
1,29,155.05
2,307,827.51
2,63,519.75
3,330,485.0
4,541,1168.8600000000001
2,864,1579.12
4,2540,3667.36
2,265,499.67
2,208,328.98
3,1109,1140.35
2,153,385.64
2,611,632.0
2,439,957.66
5,768,1698.94
1,82,189.5
3,141,412.05
1,311,209.49
6,745,2202.99
1,28,52.199999999999996
1,118,384.8
4,442,834.57
2,183,271.24
4,263,691.73
1,100,85.0
9,1768,3385.62
1,196,361.62
1,182,312.98
3,388,865.0600000000001
3,3700,1255.0
2,1016,1537.95
1,944,1595.48
3,1705,2651.46
1,312,1090.14
25,2296,8109.5199999999995
3,494,388.5
1,75,216.17
1,129,201.16
5,591,1245.9
8,1688,2209.36
1,224,305.78
4,204,501.56
1,57,145.67000000000002
3,513,1015.29
2,1964,3192.54
4,1721,3104.95
8,1325,2770.94
13,2806,6403.25
3,140,389.6
1,180,540.45
5,1316,1786.79
1,36,122.7
1,108,117.24
1,475,1281.53
13,1842,3219.77
20,10118,17159.52
5,953,1191.13
5,1436,2674.48
5,300,787.6
2,182,506.8
1,126,243.56
1,147,349.55
2,258,605.63
1,146,416.90000000000003
10,831,1883.8100000000002
4,983,632.97
1,190,821.1
3,354,564.62
4,1365,2593.07
1,200,311.16
1,133,155.93
2,156,388.52
3,430,740.95
5,1739,2867.2
2,332,332.64
4,1477,2319.55
9,2731,2580.91
2,380,626.45
2,228,272.04
2,1140,1212.8400000000001
2,472,348.81
1,93,172.25
1,185,351.13
6,1575,1838.8500000000001
4,331,678.25
1,104,223.85000000000002
1,214,348.99
4,129,464.57
2,143,842.65
2,274,337.34
2,725,1237.53
1,72,307.4
2,205,608.7900000000001
1,390,922.1
1,330,376.58
1,123,158.85
1,70,71.66
3,847,568.55
4,516,839.14
5,2364,5112.96
3,443,561.5699999999999
1,44,90.6
1,40,102.0
6,2474,2427.32
4,323,745.06
3,459,674.45
2,1430,3251.07
7,2724,3515.68
2,150,439.92
2,154,322.96
5,491,1026.42
3,357,598.2
2,142,230.22
2,87,169.55
4,460,664.54
1,42,80.7
18,4542,9053.94
8,1844,2758.26
2,187,190.25
1,109,264.7
1,249,413.59000000000003
6,1732,2526.28
1,154,357.98
2,315,196.79000000000002
1,639,869.87
1,172,200.14
4,1136,1871.81
12,1183,2603.43
5,679,920.51
15,3447,7060.13
1,430,320.46
6,3044,4147.96
2,1313,1266.08
1,190,311.3
6,997,854.97
1,64,76.8
9,900,3466.36
6,940,2313.14
5,879,1393.69
12,2243,3901.81
1,710,635.66
3,962,2043.0800000000002
2,877,529.73
7,2668,4582.64
5,2478,2874.72
3,641,962.19
2,365,695.61
1,160,328.8
3,462,473.02
1,1076,505.18
1,378,917.34
4,2124,4291.21
3,1037,1421.61
2,441,642.8
3,192,631.9
1,487,440.0
2,345,584.07
2,150,327.7
1,62,104.82
2,198,467.66
8,1479,2360.09
19,5788,17286.86
11,2032,2975.59
3,423,651.8199999999999
5,739,1428.02
1,268,626.65
2,46,147.20000000000002
3,965,1560.38
1,92,152.2
12,1554,3614.92
1,94,141.41
4,308,652.82
4,535,1659.75
1,443,151.59
5,381,1308.6100000000001
1,288,409.93
4,3870,5681.72
2,689,746.36
23,3756,15610.390000000001
1,89,225.36
2,215,260.25
1,62,92.46
1,216,725.6400000000001
23,4273,8214.65
17,4876,6217.96
1,128,183.6
19,5386,6140.42
12,5593,10464.85
5,1788,1353.74
1,45,152.55
2,361,374.7
1,73,265.85
8,957,1424.0
1,130,151.04
3,754,942.26
1,81,122.47
5,268,499.41999999999996
6,310,1049.37
1,301,375.1
1,48,45.599999999999994
2,596,934.52
1,110,182.25
9,732,1018.43
18,3184,4448.54
1,251,194.42
13,12665,50491.81
1,134,161.0
1,72,76.32000000000001
14,2066,4076.91
1,406,442.85
17,16336,53258.43
1,104,147.35
11,2179,3104.17
1,64,194.9
6,6942,5976.79
5,961,1360.28
2,72,216.20999999999998
1,800,1266.23
7,1793,2703.23
2,381,597.91
1,88,144.2
12,2457,5683.15
4,458,692.85
7,1651,2915.15
4,745,1840.42
2,101,386.53
5,707,1382.74
1,72,90.0
4,2082,2780.15
1,1618,419.58000000000004
3,1640,2740.43
3,508,706.1300000000001
3,321,709.71
2,564,637.5
5,592,1123.8600000000001
1,258,483.86
11,3368,3586.0299999999997
3,348,605.64
15,3850,4690.31
2,610,982.3800000000001
1,510,415.82
2,811,935.05
4,355,915.13
1,313,311.81
1,30,115.8
4,756,3742.2
5,2437,4191.0
2,108,483.4
1,16,157.2
1,218,446.62
2,496,658.64
2,711,621.29
2,465,1345.62
1,25,118.75
54,57872,116729.63
2,284,432.88
1,781,507.66
11,4405,4690.64
3,455,1110.52
2,142,289.36
4,893,2445.91
2,1033,1631.77
1,54,122.53999999999999
4,150,574.84
1,167,363.79
4,150,450.84
1,94,134.46
3,1515,3222.3
4,209,576.9000000000001
4,205,559.41
7,1503,1600.93
2,330,719.78
25,719,4748.52
1,127,452.89
1,6,197.65
6,1162,2054.36
15,3937,4654.08
13,3662,4684.76
2,445,853.39
21,5840,11349.52
2,760,1012.0
1,142,335.52
4,290,701.4
1,28,185.39999999999998
7,590,747.44
1,82,161.03
2,204,466.7
1,276,328.15999999999997
1,114,151.74
6,691,2073.43
6,760,1905.8400000000001
9,1242,2241.1
1,1152,1070.48
5,751,1004.38
6,1358,1789.72
4,594,1839.3
17,689,2004.98
1,160,169.48000000000002
1,78,89.94
2,272,632.4
9,2191,3432.8
1,607,683.17
3,585,991.13
4,514,1050.12
5,1308,2232.19
10,1820,3350.96
3,610,1547.2
3,409,925.71
5,1941,2048.07
4,680,1462.72
4,963,775.46
5,1959,3144.86
2,310,490.86
1,38,161.0
1,111,146.85
11,993,2380.85
2,418,890.34
1,146,213.70000000000002
2,123,280.55
10,1221,2588.77
2,976,1693.45
3,804,1474.06
1,47,136.76999999999998
1,102,302.58
3,1200,1904.05
5,1674,2879.7000000000003
2,414,969.0600000000001
5,1682,3099.7200000000003
9,7100,12669.98
1,68,120.0
2,406,1163.45
8,1645,2618.23
2,70,333.97
2,330,530.18
3,530,1516.24
1,197,492.65000000000003
1,88,112.32
2,599,437.96
4,264,559.97
3,744,1119.74
3,1982,4180.2
1,52,134.04
15,2668,3729.34
2,161,595.25
4,541,1910.01
3,4338,4628.75
3,261,176.63
1,188,426.6
6,292,911.26
5,915,2314.65
11,2749,3883.25
9,1663,4871.93
4,709,1046.56
1,84,166.20000000000002
4,865,1305.33
44,58343,51527.3
9,2149,3965.62
1,32,43.2
1,606,640.14
1,139,383.45
3,1089,1858.96
2,1075,2093.32
6,2058,2995.72
9,1633,2352.53
1,146,310.26
6,1012,1611.59
1,296,120.0
6,1021,2481.13
1,255,508.58000000000004
2,325,477.79
5,2406,1530.75
2,350,605.0600000000001
1,103,183.85
1,139,311.65
7,3095,5014.84
2,252,462.65999999999997
3,481,866.31
1,58,415.2
8,1731,2552.21
2,379,468.26
4,1759,1614.91
2,335,588.22
1,168,309.52
1,58,134.7
8,1403,2182.28
4,347,668.5600000000001
8,477,889.9300000000001
1,50,108.97999999999999
2,605,1021.58
1,183,409.57
1,86,133.5
1,183,282.93
1,12,51.0
4,538,1078.96
1,64,90.6
2,210,163.62
1,92,174.4
2,277,701.23
1,148,225.77
3,371,912.18
4,1151,2128.23
1,100,161.2
8,1967,3717.35
16,4438,9261.52
1,36,155.0
1,34,100.5
1,17,76.55
1,194,257.68
2,219,617.05
2,292,348.1
1,146,202.68
1,1237,626.0699999999999
3,817,1247.69
3,159,202.11
1,54,142.4
3,819,1770.56
8,1941,3212.84
2,729,1043.46
9,2136,4652.82
1,13,67.95
9,1693,3507.71
2,225,487.99
19,1890,2612.96
1,454,574.7
13,4507,4051.48
4,519,1475.81
6,839,1474.32
1,77,156.75
5,1414,2142.73
7,1616,2606.53
6,1230,2059.4500000000003
9,571,1104.07
1,196,1063.0
2,786,770.03
1,68,122.7
7,2512,1496.98
13,3011,5900.28
2,326,490.22
3,1711,1937.25
6,487,1058.06
1,334,387.52
2,365,813.11
6,2906,4263.64
